日期,大类名称,中类名称,商品名称,销售数量,销售金额,退货金额,折扣金额,利润率,客单价
2023-01-05,服装,配饰,手表,112,6664.16,182.47,531.84,0.18,59.5
2023-01-05,家居用品,家具,床架,170,624482.35,12066.93,88276.82,0.22,3673.43
2023-01-05,服装,童装,外套,294,772813.14,32874.72,74149.9,0.27,2628.62
2023-01-05,电子产品,平板电脑,iPad Air,91,144463.72,4949.29,15673.3,0.36,1587.51
2023-01-05,电子产品,笔记本,华为MateBook,83,670908.12,25697.56,64000.08,0.31,8083.23
2023-01-05,电子产品,游戏机,PS4 Pro,88,303892.03,8390.38,23916.24,0.25,3453.32
2023-01-05,食品,调味品,酱油,329,201988.63,3028.01,18902.59,0.34,613.95
2023-01-05,服装,女装,羽绒服,286,731948.57,7600.12,42487.72,0.48,2559.26
2023-01-05,服装,配饰,手表,243,15807.75,208.9,1730.33,0.27,65.05
2023-01-05,服装,童装,外套,210,234788.13,6965.31,13467.37,0.29,1118.04
2023-01-05,家居用品,卫浴,镜子,112,390447.15,14319.28,31750.56,0.3,3486.14
2023-01-05,家居用品,家具,真皮沙发,92,435000.45,17349.19,32056.61,0.5,4728.27
2023-01-05,服装,运动装,李宁,280,433706.48,21171.83,60834.94,0.16,1548.95
2023-01-06,电子产品,平板电脑,iPad Pro,70,547850.85,20694.28,77680.52,0.47,7826.44
2023-01-06,食品,饮料,果汁,28,23038.44,1139.5,2593.57,0.39,822.8
2023-01-06,家居用品,家具,真皮沙发,81,128945.88,1640.12,18502.33,0.34,1591.92
2023-01-06,家居用品,家具,床架,199,361659.99,8807.59,53282.78,0.25,1817.39
2023-01-06,家居用品,厨具,烤箱,44,210295.29,8404.1,19932.84,0.24,4779.44
2023-01-06,服装,童装,儿童套装,229,570705.87,22764.13,65108.04,0.45,2492.17
2023-01-06,家居用品,收纳,收纳柜,146,469675.73,13280.12,32744.65,0.4,3216.96
2023-01-06,电子产品,手机,小米14,68,532968.28,12264.85,69744.07,0.43,7837.77
2023-01-06,家居用品,厨具,炒锅套装,197,792895.07,9457.94,99614.51,0.15,4024.85
2023-01-06,食品,生鲜,牛肉,382,373710.51,12112.81,23123.17,0.17,978.3
2023-01-06,家居用品,家具,真皮沙发,197,774834.08,14963.44,103340.45,0.5,3933.17
2023-01-07,服装,男装,商务西服,260,594693.98,18313.69,57376.37,0.24,2287.28
2023-01-07,家居用品,家具,真皮沙发,92,13143.71,273.02,1702.84,0.27,142.87
2023-01-07,食品,生鲜,蔬菜,314,313175.95,13519.28,42641.2,0.46,997.38
2023-01-07,家居用品,厨具,烤箱,142,405729.98,19998.2,43903.78,0.37,2857.25
2023-01-07,家居用品,家具,书柜,108,96504.1,4254.07,7415.42,0.44,893.56
2023-01-07,电子产品,智能手表,OPPO Watch,87,113759.61,3450.67,9632.17,0.39,1307.58
2023-01-07,电子产品,相机,松下S5,83,174362.75,3723.97,12355.32,0.2,2100.76
2023-01-07,食品,调味品,调味料,72,4311.06,193.16,519.02,0.15,59.88
2023-01-07,服装,配饰,钻石项链,85,139394.57,2485.07,8739.29,0.31,1639.94
2023-01-07,服装,童装,儿童套装,118,222716.26,4470.34,22843.14,0.17,1887.43
2023-01-07,服装,男装,商务西服,295,198597.12,5867.8,25083.59,0.22,673.21
2023-01-07,家居用品,厨具,烤箱,136,386423.27,10349.27,23753.63,0.41,2841.35
2023-01-07,电子产品,配件,笔记本支架,58,289179.56,4328.62,39252.98,0.26,4985.85
2023-01-07,家居用品,家具,实木餐桌,19,44385.32,1066.61,3593.47,0.22,2336.07
2023-01-08,服装,女装,真丝旗袍,238,583639.65,26960.82,42985.49,0.45,2452.27
2023-01-08,食品,生鲜,牛肉,231,43933.81,925.12,5942.56,0.29,190.19
2023-01-08,服装,女装,羽绒服,99,46996.74,1783.41,4394.92,0.28,474.71
2023-01-08,服装,童装,连衣裙,50,79848.18,3105.97,9833.09,0.21,1596.96
2023-01-08,服装,配饰,手表,123,279686.74,12926.26,19495.73,0.38,2273.88
2023-01-08,电子产品,平板电脑,华为MatePad,33,320555.4,4023.52,47551.13,0.3,9713.8
2023-01-08,服装,配饰,钻石项链,249,704460.09,21039.96,102282.6,0.32,2829.16
2023-01-08,电子产品,智能手表,Apple Watch,81,330050.78,9459.59,41261.06,0.34,4074.7
2023-01-08,服装,运动装,耐克运动服,203,467960.29,22007.78,53207.13,0.2,2305.22
2023-01-09,服装,配饰,手表,120,34604.97,1174.76,1889.14,0.48,288.37
2023-01-09,服装,配饰,钻石项链,297,760568.67,15839.44,63022.24,0.23,2560.84
2023-01-09,服装,男装,商务西服,89,263685.3,7623.38,24137.07,0.42,2962.76
2023-01-09,食品,零食,高端坚果,379,295757.73,9149.59,35561.67,0.26,780.36
2023-01-09,服装,男装,裤子,296,811588.95,14082.59,69687.87,0.27,2741.85
2023-01-09,家居用品,灯具,水晶吊灯,83,265363.19,4014.58,34618.78,0.26,3197.15
2023-01-09,服装,配饰,奢侈品包包,196,39211.85,1918.1,5144.96,0.21,200.06
2023-01-09,电子产品,游戏机,PS4 Pro,57,247363.6,11746.5,13683.29,0.16,4339.71
2023-01-09,食品,零食,饼干,474,283602.21,5959.78,40562.18,0.2,598.32
2023-01-09,食品,零食,薯片,92,48893.99,1586.23,4537.0,0.32,531.46
2023-01-09,食品,饮料,果汁,338,89401.11,2271.06,6187.54,0.45,264.5
2023-01-10,服装,配饰,奢侈品包包,46,54856.77,1193.2,7275.6,0.16,1192.54
2023-01-10,家居用品,家纺,地毯,93,112682.3,5267.75,14990.47,0.29,1211.64
2023-01-10,电子产品,相机,富士X-T4,19,167779.47,7456.19,24173.66,0.19,8830.5
2023-01-10,食品,饮料,咖啡,229,212083.87,9302.4,11811.14,0.47,926.13
2023-01-10,电子产品,平板电脑,Samsung Tab,86,209365.41,7857.39,11299.71,0.43,2434.48
2023-01-10,家居用品,家具,真皮沙发,171,486021.9,6207.89,53019.94,0.15,2842.23
2023-01-10,家居用品,灯具,射灯,141,289528.55,3609.71,36895.73,0.49,2053.39
2023-01-10,电子产品,相机,尼康Z6,61,350377.33,8163.13,48071.02,0.27,5743.89
2023-01-10,电子产品,平板电脑,小米平板,74,293549.68,3342.3,35646.88,0.45,3966.89
2023-01-10,服装,配饰,奢侈品包包,291,262397.69,6203.35,14606.22,0.4,901.71
2023-01-10,食品,饮料,果汁,70,18411.51,430.67,2441.03,0.34,263.02
2023-01-10,电子产品,手机,iPhone 14 Pro,99,286509.9,10562.18,24357.03,0.47,2894.04
2023-01-10,家居用品,厨具,烤箱,189,139785.06,5483.14,11399.29,0.43,739.6
2023-01-10,服装,运动装,阿迪达斯,195,31203.63,1365.8,4034.84,0.19,160.02
2023-01-10,服装,运动装,彪马,82,220488.77,5664.61,13871.73,0.49,2688.89
2023-01-10,家居用品,家具,书柜,138,583431.69,13008.06,75230.47,0.19,4227.77
2023-01-11,食品,零食,高端坚果,478,416089.04,7147.57,55247.63,0.36,870.48
2023-01-11,电子产品,智能手表,华为Watch,67,366693.36,4712.74,30679.42,0.23,5473.04
2023-01-11,家居用品,收纳,收纳盒,168,340951.41,9797.36,47001.5,0.33,2029.47
2023-01-11,食品,粮油,面条,35,12183.78,190.65,1003.45,0.19,348.11
2023-01-11,家居用品,家具,办公椅,136,596197.95,10747.96,69557.86,0.26,4383.81
2023-01-11,食品,粮油,面条,313,143573.96,5503.97,17329.83,0.19,458.7
2023-01-11,服装,男装,衬衫,291,537197.06,14849.66,42667.16,0.21,1846.04
2023-01-11,食品,粮油,面条,219,177003.52,7145.46,19301.4,0.28,808.24
2023-01-11,食品,生鲜,海鲜礼盒,324,124329.98,5271.38,18147.01,0.26,383.73
2023-01-11,服装,女装,外套,51,76999.69,1962.54,8666.79,0.47,1509.8
2023-01-11,服装,男装,商务西服,31,12511.04,147.17,751.67,0.49,403.58
2023-01-11,家居用品,收纳,储物箱,150,552772.17,12627.13,50298.68,0.26,3685.15
2023-01-11,电子产品,笔记本,联想ThinkPad,15,11600.48,152.93,836.53,0.26,773.37
2023-01-11,电子产品,相机,索尼A7M4,92,519896.74,10666.41,77030.13,0.2,5651.05
2023-01-11,家居用品,家纺,羽绒被,49,208694.18,4208.37,25170.98,0.2,4259.06
2023-01-11,家居用品,灯具,北欧吊灯,133,385437.24,7983.99,27612.92,0.36,2898.02
2023-01-11,服装,女装,套装,252,144424.23,3076.7,21350.86,0.16,573.11
2023-01-11,家居用品,厨具,进口刀具,24,83577.72,2577.1,12116.55,0.46,3482.41
2023-01-11,家居用品,家具,书柜,94,419359.92,18483.64,55105.83,0.17,4461.28
2023-01-12,食品,生鲜,蔬菜,80,74821.47,1839.27,8976.21,0.22,935.27
2023-01-12,服装,运动装,安德玛,248,621606.54,11642.99,78277.04,0.18,2506.48
2023-01-12,服装,运动装,安德玛,77,100958.84,3853.86,5415.44,0.16,1311.15
2023-01-12,家居用品,厨具,电饭煲,200,863217.3,30387.97,81010.0,0.21,4316.09
2023-01-12,家居用品,收纳,收纳盒,192,405219.18,12755.94,33002.94,0.26,2110.52
2023-01-12,家居用品,家纺,蚕丝被,129,606921.02,14299.43,87526.47,0.3,4704.81
2023-01-12,食品,生鲜,牛肉,63,5382.89,201.16,273.05,0.16,85.44
2023-01-12,食品,饮料,果汁,263,185563.1,2432.17,12200.25,0.23,705.56
2023-01-12,电子产品,手机,iPhone 15 Pro,45,314603.07,3436.77,21918.21,0.38,6991.18
2023-01-12,电子产品,笔记本,联想ThinkPad,89,256032.68,7120.56,18500.08,0.39,2876.77
2023-01-12,家居用品,收纳,储物箱,31,142527.03,2843.58,17831.18,0.45,4597.65
2023-01-12,食品,粮油,调和油,235,125086.62,3237.1,16723.3,0.19,532.28
2023-01-13,食品,粮油,进口面粉,324,30401.91,1110.18,3517.52,0.5,93.83
2023-01-13,电子产品,平板电脑,华为MatePad,81,86547.05,1056.95,7889.61,0.49,1068.48
2023-01-13,食品,生鲜,蔬菜,29,9253.02,246.57,573.47,0.5,319.07
2023-01-13,食品,粮油,有机大米,344,173658.33,8095.68,21480.72,0.18,504.82
2023-01-13,食品,调味品,醋,377,131104.96,4181.52,9091.47,0.32,347.76
2023-01-13,服装,女装,真丝旗袍,67,171284.25,2509.34,16231.46,0.2,2556.48
2023-01-13,电子产品,智能手表,OPPO Watch,26,226225.21,7042.97,21159.96,0.46,8700.97
2023-01-13,家居用品,收纳,收纳柜,104,304886.36,13722.67,34353.66,0.26,2931.6
2023-01-13,服装,运动装,安德玛,49,105826.19,4999.72,15406.4,0.47,2159.72
2023-01-13,食品,饮料,咖啡,244,208637.73,6446.07,14047.85,0.36,855.07
2023-01-13,家居用品,厨具,烤箱,19,44332.04,1923.43,3823.92,0.26,2333.27
2023-01-14,家居用品,厨具,炒锅套装,135,337752.91,11475.05,39979.93,0.26,2501.87
2023-01-14,家居用品,卫浴,智能马桶,121,426531.15,18273.18,48441.15,0.49,3525.05
2023-01-14,家居用品,家纺,羽绒被,44,95983.74,2251.27,11855.08,0.24,2181.45
2023-01-14,食品,生鲜,蔬菜,483,53134.05,1203.41,5248.2,0.24,110.01
2023-01-14,家居用品,卫浴,花洒,179,440957.99,18065.76,57484.82,0.47,2463.45
2023-01-14,家居用品,家纺,羽绒被,57,184259.87,2524.14,13232.01,0.19,3232.63
2023-01-14,家居用品,家纺,羽绒被,109,192057.89,6809.04,22189.73,0.41,1762.0
2023-01-14,食品,调味品,进口橄榄油,483,409770.2,16473.41,41972.11,0.19,848.39
2023-01-14,食品,零食,饼干,213,79415.85,871.91,4653.32,0.4,372.84
2023-01-14,服装,运动装,李宁,262,546242.0,11375.52,47619.0,0.21,2084.89
2023-01-14,食品,零食,糖果,301,56972.2,1827.87,4359.84,0.36,189.28
2023-01-14,服装,男装,裤子,13,18962.11,789.92,1290.87,0.26,1458.62
2023-01-14,食品,零食,高端坚果,374,361645.89,6466.14,45660.82,0.3,966.97
2023-01-14,服装,童装,外套,107,228636.98,8134.97,23323.94,0.32,2136.79
2023-01-14,食品,调味品,酱油,96,34177.0,1630.33,4568.35,0.31,356.01
2023-01-14,家居用品,家纺,蚕丝被,90,242737.46,2635.49,17482.32,0.25,2697.08
2023-01-15,家居用品,家具,办公椅,59,288440.76,5573.18,29850.06,0.27,4888.83
2023-01-15,食品,粮油,有机大米,381,298960.14,4543.5,25277.9,0.39,784.67
2023-01-15,食品,零食,饼干,335,29032.44,1187.58,1760.22,0.32,86.66
2023-01-15,电子产品,相机,松下S5,88,39356.33,627.46,2702.18,0.34,447.23
2023-01-15,家居用品,家纺,地毯,7,24776.3,828.88,1241.92,0.45,3539.47
2023-01-15,电子产品,配件,无线耳机,54,368085.07,12430.89,45673.46,0.16,6816.39
2023-01-15,电子产品,相机,松下S5,61,100094.96,4186.82,8758.41,0.4,1640.9
2023-01-15,食品,饮料,进口红酒,459,121195.0,2003.91,14803.62,0.48,264.04
2023-01-15,家居用品,家具,床架,184,512470.99,14128.28,51635.91,0.45,2785.17
2023-01-16,食品,粮油,面条,33,8677.95,272.94,562.94,0.23,262.97
2023-01-16,电子产品,智能手表,Garmin,40,138712.96,3153.78,11771.46,0.18,3467.82
2023-01-16,服装,运动装,彪马,146,81858.17,1620.52,11980.7,0.42,560.67
2023-01-16,食品,零食,饼干,63,38513.49,663.16,4545.07,0.16,611.33
2023-01-16,服装,运动装,安德玛,35,2743.4,107.25,226.35,0.46,78.38
2023-01-16,食品,调味品,酱油,477,279375.62,10001.03,23467.07,0.36,585.69
2023-01-16,电子产品,笔记本,MacBook Pro,30,84277.92,1815.08,5650.83,0.42,2809.26
2023-01-16,电子产品,平板电脑,Samsung Tab,52,150885.11,2311.48,14295.37,0.17,2901.64
2023-01-16,电子产品,智能手表,华为Watch,3,8123.79,294.13,579.6,0.44,2707.93
2023-01-16,服装,童装,品牌童装,84,156669.69,3152.49,14275.13,0.24,1865.12
2023-01-16,电子产品,笔记本,MacBook Pro,92,830725.51,25846.86,74140.06,0.27,9029.63
2023-01-16,服装,运动装,耐克运动服,83,155347.22,6467.92,19634.0,0.46,1871.65
2023-01-16,家居用品,家纺,羽绒被,173,687143.16,14738.76,51977.6,0.48,3971.93
2023-01-16,食品,粮油,面条,388,237752.44,5929.98,17115.87,0.49,612.76
2023-01-16,食品,饮料,茅台酒,261,49317.67,888.56,2912.81,0.49,188.96
2023-01-16,电子产品,平板电脑,华为MatePad,30,21785.73,435.4,1274.06,0.36,726.19
2023-01-16,电子产品,游戏机,Switch Lite,85,680796.36,21165.37,78309.96,0.18,8009.37
2023-01-16,电子产品,配件,平板保护套,28,99431.69,2762.93,12822.8,0.34,3551.13
2023-01-16,家居用品,收纳,收纳盒,183,757536.66,36020.76,44420.86,0.22,4139.54
2023-01-16,电子产品,相机,富士X-T4,30,76428.51,2367.83,7266.1,0.18,2547.62
2023-01-16,电子产品,配件,笔记本支架,65,490142.22,13610.51,39806.22,0.41,7540.65
2023-01-17,服装,运动装,阿迪达斯,288,320710.48,6656.84,38696.91,0.33,1113.58
2023-01-17,家居用品,家纺,羽绒被,106,367496.19,6482.63,43995.05,0.37,3466.95
2023-01-17,电子产品,智能手表,Apple Watch,65,271267.97,12198.89,15162.91,0.2,4173.35
2023-01-17,食品,生鲜,牛肉,489,300741.26,13438.83,32738.16,0.25,615.01
2023-01-17,服装,运动装,彪马,41,102803.0,2026.57,9883.41,0.47,2507.39
2023-01-17,电子产品,平板电脑,iPad Pro,98,770137.64,17418.72,78397.59,0.45,7858.55
2023-01-17,服装,运动装,安德玛,60,65296.98,1989.18,6729.36,0.33,1088.28
2023-01-17,家居用品,家具,真皮沙发,68,273291.12,12715.1,14829.96,0.21,4018.99
2023-01-17,服装,男装,衬衫,93,229347.95,2988.99,12576.43,0.34,2466.11
2023-01-17,电子产品,游戏机,PS5,40,107671.48,4451.39,8070.58,0.35,2691.79
2023-01-18,电子产品,配件,笔记本支架,19,120669.04,3576.28,10291.96,0.49,6351.0
2023-01-18,家居用品,卫浴,花洒,99,356203.65,15460.1,53339.41,0.4,3598.02
2023-01-18,电子产品,游戏机,Xbox Series X,53,277891.71,8312.02,30888.11,0.4,5243.24
2023-01-18,家居用品,卫浴,浴缸套装,153,718437.48,30699.17,37260.69,0.35,4695.67
2023-01-18,服装,女装,外套,57,132797.05,2141.08,17126.2,0.21,2329.77
2023-01-18,电子产品,平板电脑,华为MatePad,95,219566.84,4553.03,28791.06,0.47,2311.23
2023-01-18,服装,女装,羽绒服,116,85523.51,2054.31,12290.51,0.2,737.27
2023-01-18,家居用品,厨具,料理机,22,73520.32,1616.17,7020.08,0.27,3341.83
2023-01-18,服装,女装,套装,112,222982.49,4574.65,20296.12,0.31,1990.92
2023-01-18,家居用品,厨具,进口刀具,65,79556.66,2359.49,4896.45,0.5,1223.95
2023-01-18,食品,零食,糖果,28,7046.6,173.47,496.51,0.35,251.66
2023-01-18,服装,配饰,帽子,211,183876.09,5546.51,22353.86,0.28,871.45
2023-01-19,食品,生鲜,牛肉,403,227259.58,5475.95,18896.51,0.36,563.92
2023-01-19,家居用品,厨具,炒锅套装,192,113741.83,2817.81,7361.57,0.2,592.41
2023-01-19,家居用品,厨具,进口刀具,65,160948.76,2686.84,9948.21,0.26,2476.13
2023-01-19,食品,生鲜,三文鱼,366,330613.49,11524.21,23710.32,0.25,903.32
2023-01-19,食品,粮油,调和油,464,438520.2,13254.26,56205.29,0.24,945.09
2023-01-19,家居用品,收纳,置物架,128,351033.48,9883.64,35368.67,0.31,2742.45
2023-01-19,家居用品,收纳,储物箱,127,568278.88,7309.99,38206.51,0.4,4474.64
2023-01-19,服装,女装,外套,74,172750.12,5094.0,24978.37,0.2,2334.46
2023-01-19,家居用品,家纺,蚕丝被,84,344039.11,7223.5,43979.97,0.46,4095.7
2023-01-20,电子产品,手机,vivo X100,13,57402.89,935.6,5456.31,0.15,4415.61
2023-01-20,电子产品,相机,富士X-T4,10,69119.5,1874.53,5082.01,0.18,6911.95
2023-01-20,食品,饮料,矿泉水,409,388145.21,7322.36,52453.52,0.18,949.01
2023-01-20,电子产品,手机,iPhone 15 Pro,72,452333.41,7655.29,46210.61,0.45,6282.41
2023-01-20,服装,女装,真丝旗袍,19,44979.96,1563.43,4320.36,0.47,2367.37
2023-01-20,家居用品,家具,书柜,144,255519.55,8693.73,32126.03,0.44,1774.44
2023-01-20,服装,女装,外套,106,127849.51,5501.11,17588.14,0.41,1206.13
2023-01-20,服装,男装,夹克,298,135668.54,3884.25,13973.13,0.18,455.26
2023-01-20,食品,饮料,矿泉水,423,347459.09,6819.92,32241.96,0.41,821.42
2023-01-20,食品,粮油,调和油,384,290279.24,5080.3,37212.28,0.23,755.94
2023-01-20,服装,女装,连衣裙,203,368016.98,10753.17,52751.77,0.32,1812.89
2023-01-21,服装,男装,夹克,185,71894.63,2329.38,10515.1,0.36,388.62
2023-01-21,食品,调味品,醋,184,69135.53,1205.56,10338.9,0.33,375.74
2023-01-21,服装,配饰,钻石项链,293,206590.36,10136.59,11501.77,0.45,705.09
2023-01-21,食品,调味品,醋,425,268271.61,8557.76,20632.24,0.23,631.23
2023-01-21,服装,运动装,李宁,200,10966.4,272.87,606.27,0.34,54.83
2023-01-21,食品,粮油,有机大米,121,5418.76,129.05,761.01,0.28,44.78
2023-01-21,食品,调味品,调味料,267,198149.06,6528.62,21674.68,0.26,742.13
2023-01-21,食品,饮料,矿泉水,376,258667.38,11218.58,21935.54,0.4,687.95
2023-01-21,电子产品,配件,平板保护套,41,254387.81,6313.42,19355.6,0.47,6204.58
2023-01-21,家居用品,厨具,电饭煲,126,433620.11,20702.35,59560.78,0.24,3441.43
2023-01-21,电子产品,智能手表,OPPO Watch,77,329983.42,12186.54,34425.11,0.3,4285.5
2023-01-21,服装,配饰,钻石项链,175,335132.26,7249.72,34000.06,0.19,1915.04
2023-01-21,家居用品,家纺,地毯,64,117344.48,5709.65,12694.39,0.45,1833.51
2023-01-22,服装,女装,外套,246,505103.99,12643.52,27387.41,0.31,2053.27
2023-01-22,电子产品,智能手表,Garmin,45,42395.34,1950.99,4662.54,0.24,942.12
2023-01-22,家居用品,家纺,地毯,74,276704.71,8460.88,28424.2,0.37,3739.25
2023-01-22,食品,饮料,矿泉水,154,15770.88,428.39,1197.32,0.34,102.41
2023-01-22,电子产品,智能手表,Garmin,89,633269.67,11763.09,39241.62,0.41,7115.39
2023-01-22,家居用品,家具,实木餐桌,185,615173.43,15726.64,37460.78,0.22,3325.26
2023-01-22,食品,零食,薯片,359,326228.6,9052.62,28973.26,0.44,908.71
2023-01-22,家居用品,家具,真皮沙发,86,332506.58,14993.78,31904.53,0.42,3866.36
2023-01-22,家居用品,家具,真皮沙发,94,149327.68,7106.06,14363.53,0.38,1588.59
2023-01-23,电子产品,相机,富士X-T4,87,238530.3,10152.21,32811.13,0.48,2741.73
2023-01-23,家居用品,卫浴,镜子,121,114065.37,1605.47,10982.45,0.24,942.69
2023-01-23,服装,运动装,李宁,75,38477.16,1461.77,2133.15,0.17,513.03
2023-01-23,电子产品,游戏机,Xbox Series X,20,121268.61,5003.85,15136.59,0.49,6063.43
2023-01-23,服装,童装,儿童套装,198,363016.13,6099.38,33042.9,0.24,1833.41
2023-01-23,电子产品,手机,iPhone 14 Pro,16,17261.65,243.44,2047.35,0.15,1078.85
2023-01-23,食品,粮油,橄榄油,430,268531.32,8675.16,34114.84,0.26,624.49
2023-01-23,服装,男装,商务西服,72,175710.91,2567.76,14733.42,0.34,2440.43
2023-01-23,电子产品,配件,充电器,64,350396.19,14725.94,49729.7,0.41,5474.94
2023-01-23,食品,零食,糖果,294,251694.39,4759.96,28938.96,0.23,856.1
2023-01-23,家居用品,灯具,台灯,187,334085.97,13967.25,29785.97,0.22,1786.56
2023-01-23,家居用品,家纺,羽绒被,39,33619.84,1246.98,1871.57,0.48,862.05
2023-01-23,电子产品,笔记本,华为MateBook,11,38177.16,540.07,2542.65,0.33,3470.65
2023-01-23,食品,饮料,果汁,224,222902.36,10756.03,32919.88,0.17,995.1
